Entry,entity name,Resolution time,result size,Number of involved  entity ,ucs_nodes,severin ok, soft diff
1,ball_l_0,0.067859,2,1,3,1,1
2,ball_O_0,0.059308,2,1,3,1,1
3,bottle_l_0,0.139627,4,2,6,0,1
4,bottle_l_1,0.068305,2,1,4,1,1
5,box_l_0,0.193782,2,1,3,1,1
6,box_l_1,0.217469,2,1,3,1,1
7,box_l_2,1.361858,4,2,17,0,1
8,box_l_3,1.1367,4,2,16,0,1
9,box_l_4,0.617972,3,2,10,0,1
10,box_l_5,0.564576,3,2,9,0,1
11,box_O_5,0.619296,4,2,5,0,1
12,can_l_0,0.014065,1,1,2,1,1
13,chair_l_0,0.226579,2,1,4,1,1
14,chair_O_0,0.149172,2,1,3,1,1
15,chair_O_1,0.317905,3,1,5,1,1
16,coat_hanger_l_0,0.066575,2,1,3,1,1
17,couch_l_0,0.013508,1,1,2,1,1
18,cup_O_0,0.764456,3,2,8,0,1
19,cup_O_2,1.064564,4,2,11,0,1
20,cup_O_3,3.034582,4,2,36,0,1
21,cup_O_4,2.105825,4,2,26,0,1
22,cup_O_5,1.018651,3,2,10,0,1
23,drawer_O_0,0.013237,1,1,2,1,1
24,fan_O_0,0.014185,1,1,2,1,1
25,food_container_l_0,1.322064,2,1,5,1,1
26,lamp_O_0,0.685341,5,2,13,0,1
27,lamp_O_1,0.185361,2,1,4,1,1
28,lamp_O_2,0.343764,3,2,7,0,1
29,room_B_bed_0,0.013346,1,1,2,1,1
30,room_B_book_0,6.405807,6,3,33,0,1
31,room_B_book_1,5.771545,4,2,34,0,1
32,room_B_book_10,1.668816,2,1,10,1,1
33,room_B_book_11,0.869473,2,1,4,1,1
34,room_B_book_12,3.559328,5,2,23,0,1
35,room_B_book_13,2.979439,5,2,20,0,1
36,room_B_book_2,1.035305,3,1,7,1,1
37,room_B_book_3,4.698687,4,2,27,0,1
38,room_B_book_4,3.922041,5,2,23,0,1
39,room_B_book_5,3.558096,5,2,23,0,1
40,room_B_book_6,0.799378,2,1,4,1,1
41,room_B_book_7,3.029112,5,2,20,0,1
42,room_B_book_8,0.641222,2,1,4,1,1
43,room_B_book_9,0.758528,2,1,4,1,1
44,room_B_box_0,0.18311,2,1,3,1,1
45,room_B_box_1,0.361131,2,1,4,1,1
46,room_B_box_2,0.407418,3,1,5,1,1
47,room_B_chair_0,0.546668,4,2,10,0,1
48,room_B_chair_1,0.474871,3,2,10,0,1
49,room_B_chair_2,0.435847,3,1,9,1,1
50,room_B_coat_hanger_0,0.073927,2,1,3,1,1
51,room_B_cube_0,0.058384,2,1,3,1,1
52,room_B_cube_1,0.060926,2,1,3,1,1
53,room_B_cup_0,1.1184,4,2,10,0,1
54,room_B_cup_1,1.030775,4,2,10,0,1
55,room_B_cup_2,2.454008,5,2,21,0,1
56,room_B_cup_3,3.096267,5,2,27,0,1
57,room_B_cup_4,2.55846,4,2,19,0,1
58,room_B_cup_5,0.5239,2,1,4,1,1
59,room_B_cup_6,1.952396,3,2,15,0,1
60,room_B_lamp_0,0.305946,3,2,8,0,1
61,room_B_lamp_1,0.111063,2,1,3,1,1
62,room_B_shelf_0,0.485909,2,1,6,1,1
63,room_B_shelf_1,2.316131,3,2,35,0,1
64,room_B_shelf_2,0.220443,2,1,4,1,1
65,room_B_shelf_3,2.001844,4,2,26,0,1
66,room_B_table_0,0.245021,2,1,4,1,1
67,room_l_book_0,0.423708,2,1,5,1,1
68,shelf_l_0,1.733897,4,2,21,0,1
69,shelf_l_1,0.416069,3,2,7,0,1
70,shelf_O_0,0.42869,3,2,10,0,1
71,shelf_O_1,0.478794,2,1,9,1,1
72,table_l_0,0.516371,3,1,15,1,1
73,table_l_1,0.425897,3,2,12,0,1
74,table_O_0,0.478838,3,1,8,1,1
75,table_O_1,0.941871,3,1,19,1,1
76,TV_O_0,0.132627,5,3,7,0,1
77,TV_O_1,0.121472,3,2,6,0,1
