indiv id,ucs_time(ms),ucs_result_size,ucs_nb indiv,ucs_nodes,severin ok, soft diff
couch_l_0,0.017672,1,1, 2,1,1
chair_O_1,1.399296,3,1, 12,1,1
room_B_chair_2,1.607748,3,1, 17,1,1
room_B_chair_1,2.316866,3,2, 19,0,1
room_B_chair_0,1.802689,4,2, 20,0,1
lamp_O_0,3.129251,4,2, 33,0,1
room_B_lamp_1,0.220344,2,1, 4,1,1
room_B_lamp_0,1.257307,3,2, 15,0,1
cup_O_4,5.447168,4,2, 30,0,1
cup_O_3,18.904949,4,2, 95,0,1
cup_O_0,2.777132,3,2, 15,0,1
room_B_cup_5,0.932277,2,1, 6,1,1
room_B_cup_0,4.937895,4,2, 25,0,1
cup_O_5,1.951084,3,2, 12,0,1
box_l_5,1.514405,3,2, 12,0,1
box_l_4,2.772374,3,2, 18,0,1
box_l_2,7.154199,4,2, 48,0,1
box_l_3,4.984035,4,2, 34,0,1
can_l_0,0.016982,1,1, 2,1,1
box_O_5,7.494356,4,2, 20,0,1
coat_hanger_l_0,0.119390,2,1, 5,1,1
room_B_bed_0,0.017394,1,1, 2,1,1
room_B_cup_6,6.954328,3,2, 25,0,1
room_B_shelf_3,4.943360,4,2, 37,0,1
cup_O_2,8.645581,4,2, 38,0,1
bottle_l_1,0.099736,2,1, 4,1,1
room_B_book_13,11.037728,5,2, 40,0,1
drawer_O_0,0.016902,1,1, 2,1,1
room_B_book_10,1.630530,2,1, 8,1,1
room_B_book_1,20.767796,4,2, 83,0,1
bottle_l_0,0.591754,4,2, 16,0,1
table_O_0,0.952758,3,2, 11,0,1
room_B_book_12,13.825704,5,2, 53,0,1
table_O_1,1.087856,3,1, 13,1,1
room_B_shelf_2,0.390474,2,1, 6,1,1
room_B_book_0,45.716713,6,3, 152,0,1
room_B_coat_hanger_0,0.138173,2,1, 4,1,1
room_B_book_2,4.244997,3,1, 17,1,1
chair_O_0,0.261450,2,1, 4,1,1
room_B_book_11,1.323878,2,1, 6,1,1
room_B_book_9,1.284837,2,1, 6,1,1
room_B_book_8,1.203315,2,1, 6,1,1
room_B_book_5,13.210673,5,2, 51,0,1
room_B_cube_0,0.104184,2,1, 4,1,1
room_B_cube_1,0.104204,2,1, 4,1,1
room_B_book_4,13.855048,5,2, 50,0,1
room_B_cup_3,15.100975,5,2, 75,0,1
TV_O_1,0.513965,3,2, 10,0,1
room_B_book_7,11.307087,5,2, 40,0,1
shelf_O_0,3.003134,3,2, 22,0,1
lamp_O_1,0.207447,2,1, 4,1,1
box_l_1,0.394767,2,1, 4,1,1
room_B_shelf_0,0.438766,2,1, 5,1,1
room_B_shelf_1,6.427223,3,2, 46,0,1
room_B_book_3,12.628333,5,2, 49,0,1
table_l_0,0.638314,3,1, 14,1,1
ball_l_0,0.120015,2,1, 5,1,1
chair_l_0,0.427859,2,1, 6,1,1
room_B_cup_2,14.860561,5,2, 77,0,1
shelf_l_0,7.687705,4,2, 49,0,1
shelf_l_1,1.598254,3,2, 14,0,1
lamp_O_2,0.596541,3,2, 12,0,1
shelf_O_1,0.685916,2,1, 8,1,1
room_B_table_0,0.628512,2,1, 9,1,1
table_l_1,0.658631,3,1, 12,1,1
food_container_l_0,1.363851,2,1, 4,1,1
fan_O_0,0.017147,1,1, 2,1,1
ball_O_0,0.112483,2,1, 4,1,1
room_B_cup_1,5.554281,4,2, 29,0,1
TV_O_0,1.733654,5,3, 29,0,1
room_B_cup_4,7.619192,4,2, 35,0,1
room_l_book_0,0.618058,2,1, 4,1,1
room_B_box_0,0.578893,2,1, 5,1,1
room_B_box_1,0.621853,2,1, 6,1,1
box_l_0,0.374592,2,1, 4,1,1
room_B_book_6,1.301659,2,1, 6,1,1
room_B_box_2,0.730397,3,1, 8,1,1
